name,birth_date,death_date,description,occupation,nationality,gender
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",playwright,France,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",association football player,France,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",journalist,France,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",philosopher,France,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",opinion journalist,France,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",novelist,France,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",essayist,France,male
Albert Camus,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z,"French philosopher, author, and journalist (1913–1960)",French resistance fighter,France,male
Alexander Fleming,1881-08-06T00:00:00Z,1955-03-11T00:00:00Z,"Scottish biologist, pharmacologist, botanist, and Nobel laureate (1881–1955)",physician,United Kingdom,male
Alexander Fleming,1881-08-06T00:00:00Z,1955-03-11T00:00:00Z,"Scottish biologist, pharmacologist, botanist, and Nobel laureate (1881–1955)",inventor,United Kingdom,male
Alexander Fleming,1881-08-06T00:00:00Z,1955-03-11T00:00:00Z,"Scottish biologist, pharmacologist, botanist, and Nobel laureate (1881–1955)",surgeon,United Kingdom,male
Alexander Fleming,1881-08-06T00:00:00Z,1955-03-11T00:00:00Z,"Scottish biologist, pharmacologist, botanist, and Nobel laureate (1881–1955)",pharmacologist,United Kingdom,male
Alexander Fleming,1881-08-06T00:00:00Z,1955-03-11T00:00:00Z,"Scottish biologist, pharmacologist, botanist, and Nobel laureate (1881–1955)",bacteriologist,United Kingdom,male
Anatole France,1844-04-16T00:00:00Z,1924-10-12T00:00:00Z,French writer (1844–1924),writer,France,male
Anatole France,1844-04-16T00:00:00Z,1924-10-12T00:00:00Z,French writer (1844–1924),poet,France,male
Anatole France,1844-04-16T00:00:00Z,1924-10-12T00:00:00Z,French writer (1844–1924),librarian,France,male
Anatole France,1844-04-16T00:00:00Z,1924-10-12T00:00:00Z,French writer (1844–1924),biographer,France,male
Anatole France,1844-04-16T00:00:00Z,1924-10-12T00:00:00Z,French writer (1844–1924),journalist,France,male
Anatole France,1844-04-16T00:00:00Z,1924-10-12T00:00:00Z,French writer (1844–1924),literary critic,France,male
Anatole France,1844-04-16T00:00:00Z,1924-10-12T00:00:00Z,French writer (1844–1924),critic,France,male
Anatole France,1844-04-16T00:00:00Z,1924-10-12T00:00:00Z,French writer (1844–1924),novelist,France,male
Anatole France,1844-04-16T00:00:00Z,1924-10-12T00:00:00Z,French writer (1844–1924),prose writer,France,male
Anatole France,1844-04-16T00:00:00Z,1924-10-12T00:00:00Z,French writer (1844–1924),science fiction writer,France,male
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),writer,Soviet Union,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),poet,Soviet Union,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),translator,Soviet Union,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),literary critic,Soviet Union,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),literary scholar,Soviet Union,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),writer,Russian Empire,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),poet,Russian Empire,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),translator,Russian Empire,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),literary critic,Russian Empire,female
Anna Akhmatova,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,Russian poet (1889–1966),literary scholar,Russian Empire,female
Artturi Ilmari Virtanen,1895-01-15T00:00:00Z,1973-11-11T00:00:00Z,Finnish chemist and professor (1895–1973),inventor,Finland,male
Artturi Ilmari Virtanen,1895-01-15T00:00:00Z,1973-11-11T00:00:00Z,Finnish chemist and professor (1895–1973),chemist,Finland,male
Artturi Ilmari Virtanen,1895-01-15T00:00:00Z,1973-11-11T00:00:00Z,Finnish chemist and professor (1895–1973),university teacher,Finland,male
Artturi Ilmari Virtanen,1895-01-15T00:00:00Z,1973-11-11T00:00:00Z,Finnish chemist and professor (1895–1973),biochemist,Finland,male
Alice Munro,1931-07-10T00:00:00Z,2024-05-13T00:00:00Z,Canadian writer (1931–2024),screenwriter,Canada,female
Alice Munro,1931-07-10T00:00:00Z,2024-05-13T00:00:00Z,Canadian writer (1931–2024),writer,Canada,female
Alice Munro,1931-07-10T00:00:00Z,2024-05-13T00:00:00Z,Canadian writer (1931–2024),journalist,Canada,female
Alice Munro,1931-07-10T00:00:00Z,2024-05-13T00:00:00Z,Canadian writer (1931–2024),novelist,Canada,female
Alice Munro,1931-07-10T00:00:00Z,2024-05-13T00:00:00Z,Canadian writer (1931–2024),short story writer,Canada,female
Alfonsina Storni,1892-05-29T00:00:00Z,1938-10-25T00:00:00Z,Argentine writer,writer,Argentina,female
Alfonsina Storni,1892-05-29T00:00:00Z,1938-10-25T00:00:00Z,Argentine writer,teacher,Argentina,female
Alfonsina Storni,1892-05-29T00:00:00Z,1938-10-25T00:00:00Z,Argentine writer,poet,Argentina,female
Alfonsina Storni,1892-05-29T00:00:00Z,1938-10-25T00:00:00Z,Argentine writer,journalist,Argentina,female
Alfonsina Storni,1892-05-29T00:00:00Z,1938-10-25T00:00:00Z,Argentine writer,sociologist,Argentina,female
Alfonsina Storni,1892-05-29T00:00:00Z,1938-10-25T00:00:00Z,Argentine writer,diarist,Argentina,female
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,writer,United Kingdom,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,editing staff,United Kingdom,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,university teacher,United Kingdom,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,novelist,United Kingdom,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,prose writer,United Kingdom,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,writer,Tanzania,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,editing staff,Tanzania,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,university teacher,Tanzania,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,novelist,Tanzania,male
Abdulrazak Gurnah,1948-12-20T00:00:00Z,,Tanzanian novelist and academic.,prose writer,Tanzania,male
Anatole France,,,Paris Métro station,,,
Alexander Fleming,1824-01-01T00:00:00Z,1875-08-21T00:00:00Z,Scottish medical scholar (1824–1875),physician,United Kingdom of Great Britain and Ireland,male
Amanda Labarca,1886-12-05T00:00:00Z,1975-01-02T00:00:00Z,"Chilean diplomat, educator, writer, and feminist (1886-1975)",writer,Chile,female
Amanda Labarca,1886-12-05T00:00:00Z,1975-01-02T00:00:00Z,"Chilean diplomat, educator, writer, and feminist (1886-1975)",politician,Chile,female
Amanda Labarca,1886-12-05T00:00:00Z,1975-01-02T00:00:00Z,"Chilean diplomat, educator, writer, and feminist (1886-1975)",professor,Chile,female
Amanda Labarca,1886-12-05T00:00:00Z,1975-01-02T00:00:00Z,"Chilean diplomat, educator, writer, and feminist (1886-1975)",diplomat,Chile,female
Amanda Labarca,1886-12-05T00:00:00Z,1975-01-02T00:00:00Z,"Chilean diplomat, educator, writer, and feminist (1886-1975)",suffragette,Chile,female
Amanda Labarca,1886-12-05T00:00:00Z,1975-01-02T00:00:00Z,"Chilean diplomat, educator, writer, and feminist (1886-1975)",pedagogue,Chile,female
Amanda Labarca,1886-12-05T00:00:00Z,1975-01-02T00:00:00Z,"Chilean diplomat, educator, writer, and feminist (1886-1975)",women's rights activist,Chile,female
Alejandra Costamagna,1970-03-23T00:00:00Z,,Chilean journalist and author,writer,Chile,female
Alejandra Costamagna,1970-03-23T00:00:00Z,,Chilean journalist and author,journalist,Chile,female
Arturo Prat,1848-04-03T00:00:00Z,1879-05-21T00:00:00Z,Chilean lawyer and navy officer (1848-1879),lawyer,Chile,male
Arturo Prat,1848-04-03T00:00:00Z,1879-05-21T00:00:00Z,Chilean lawyer and navy officer (1848-1879),sailor,Chile,male
